id,state,account_length,area_code,phone_number,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge
1412,NC,103,510, 379-2508, no, no,0,166.6,84,28.32,192.4,91,16.35,167.9,115,7.56,7.7,6,2.08
1413,MT,131,415, 353-3492, no, yes,24,135.9,60,23.1,233.2,78,19.82,210.6,121,9.48,9.4,4,2.54
1414,SD,95,408, 406-4840, no, yes,20,165.7,78,28.17,215.6,94,18.33,243.3,91,10.95,9.8,6,2.65
1416,LA,99,510, 379-9821, no, no,0,142.3,89,24.19,204.5,95,17.38,203.1,114,9.14,9.1,1,2.46
1418,AK,141,408, 338-8566, no, no,0,83.2,74,14.14,190.6,104,16.2,150.5,79,6.77,10.7,7,2.89
1419,OH,29,415, 397-3058, yes, yes,37,235,101,39.95,183.3,79,15.58,139.8,106,6.29,5.7,7,1.54
1420,NM,65,415, 389-8096, no, no,0,105.7,95,17.97,141.8,100,12.05,180.5,105,8.12,6.6,12,1.78
1422,MN,37,415, 360-7404, no, yes,20,264.7,81,45,216.5,110,18.4,210.7,102,9.48,10.4,7,2.81
1423,WY,107,510, 411-5740, no, yes,31,160.3,45,27.25,221.5,70,18.83,261.6,109,11.77,5.6,1,1.51
1425,WA,78,408, 372-7326, no, no,0,140.7,77,23.92,195.2,114,16.59,252.9,107,11.38,11.7,5,3.16
1428,RI,176,415, 401-7654, no, no,0,250.9,108,42.65,171.4,100,14.57,148.6,85,6.69,9.6,6,2.59
1430,WV,11,510, 419-4310, no, yes,38,209.8,130,35.67,196.6,84,16.71,233,79,10.49,7,7,1.89
1432,NJ,127,510, 363-6695, no, no,0,239.8,107,40.77,128.9,121,10.96,249.9,110,11.25,11.3,5,3.05
1433,TN,63,415, 374-6217, no, no,0,164.5,75,27.97,147.9,118,12.57,252.7,97,11.37,11.2,2,3.02
1434,MI,79,510, 337-9569, no, no,0,220.9,107,37.55,192.2,97,16.34,161,74,7.25,12.2,2,3.29
1435,UT,47,408, 350-9720, no, yes,37,112.8,150,19.18,243.9,97,20.73,178.7,112,8.04,13.2,6,3.56
1436,IL,89,415, 380-4080, yes, yes,19,112.6,114,19.14,261.7,132,22.24,123.5,116,5.56,11.1,2,3
1437,MI,83,510, 333-7460, no, yes,26,226.4,117,38.49,234.7,97,19.95,133.6,82,6.01,10.8,7,2.92
1440,VT,122,415, 386-6535, no, no,0,136.7,115,23.24,243.1,137,20.66,188.9,110,8.5,8.6,4,2.32
1441,WA,136,408, 403-5575, no, no,0,152.6,97,25.94,208.9,85,17.76,119.1,99,5.36,5,10,1.35
1442,NC,172,408, 331-5962, no, yes,47,274.9,102,46.73,186.6,118,15.86,245,123,11.03,8.8,2,2.38
1443,ME,102,510, 390-9627, no, no,0,195.7,116,33.27,209.1,87,17.77,201.1,73,9.05,8.3,3,2.24
1445,WV,79,415, 359-6931, no, no,0,222.3,99,37.79,146.2,82,12.43,275.6,82,12.4,8.9,4,2.4
1447,LA,111,415, 367-2227, no, yes,28,128.8,104,21.9,157.3,52,13.37,147.4,76,6.63,10.3,2,2.78
1449,FL,110,415, 398-6703, no, no,0,242.5,110,41.23,162.3,140,13.8,184.1,86,8.28,7.8,3,2.11
1450,CO,192,415, 370-8379, no, no,0,221.6,101,37.67,285.2,50,24.24,167.4,83,7.53,12.7,6,3.43
1451,NV,93,408, 335-3880, no, no,0,114.3,100,19.43,221.1,103,18.79,126.3,88,5.68,10.9,9,2.94
1452,IN,101,415, 375-8761, no, yes,33,219.7,137,37.35,186.8,94,15.88,184.5,113,8.3,9.5,2,2.57
1455,UT,133,408, 398-8745, no, yes,44,174,80,29.58,209.4,113,17.8,224.1,87,10.08,14.1,7,3.81
1456,MO,131,408, 386-3717, no, no,0,109.5,95,18.62,332.1,48,28.23,258.6,108,11.64,6.6,7,1.78
1459,MD,125,408, 349-6464, no, no,0,137.1,94,23.31,209.8,83,17.83,238.4,114,10.73,8.6,4,2.32
1460,VA,95,415, 366-7331, no, no,0,197,88,33.49,190.4,68,16.18,211.9,104,9.54,16.1,8,4.35
1463,CO,37,408, 408-1513, no, no,0,199.5,107,33.92,207.5,110,17.64,83.9,123,3.78,8.1,4,2.19
1465,AL,69,415, 389-4278, no, no,0,183.4,85,31.18,237.6,100,20.2,228,94,10.26,9,5,2.43
1466,CO,83,510, 379-3012, no, no,0,132.4,120,22.51,121.6,101,10.34,197.7,84,8.9,8.6,2,2.32
1467,UT,195,415, 355-3620, no, no,0,63.2,108,10.74,220.2,88,18.72,184,99,8.28,5.1,3,1.38
1468,DE,67,415, 413-7743, yes, yes,35,181.1,59,30.79,215.9,116,18.35,216.3,106,9.73,16.9,4,4.56
1469,OH,75,510, 372-2296, no, yes,27,117.5,102,19.98,206.8,127,17.58,194.4,114,8.75,4.2,7,1.13
1470,RI,123,415, 333-9728, no, yes,27,218.7,79,37.18,163.4,78,13.89,173.8,116,7.82,15,1,4.05
1471,FL,41,415, 415-6110, no, yes,41,207.3,95,35.24,137.3,120,11.67,115.7,74,5.21,5.9,3,1.59
1472,OH,75,415, 340-9803, no, no,0,150.6,99,25.6,301.5,83,25.63,158.7,104,7.14,8.1,5,2.19
1473,MD,76,415, 400-7002, yes, no,0,273.3,66,46.46,263.6,121,22.41,165.2,84,7.43,12,7,3.24
1474,IL,86,415, 395-7435, yes, no,0,266.1,120,45.24,182,92,15.47,206.5,103,9.29,10.3,4,2.78
1475,PA,140,408, 336-7143, no, no,0,112.8,89,19.18,156.7,65,13.32,249.6,85,11.23,16.3,6,4.4
1476,AZ,70,415, 352-2175, no, no,0,104.7,112,17.8,82.2,104,6.99,169.4,110,7.62,15.8,7,4.27
1477,NH,121,510, 346-6352, no, yes,35,193.8,62,32.95,197.6,97,16.8,218.8,95,9.85,5.9,4,1.59
1478,RI,112,415, 405-7467, no, no,0,168.6,102,28.66,298,117,25.33,194.7,110,8.76,9.8,5,2.65
1479,HI,118,415, 379-8526, no, no,0,253.2,122,43.04,201,78,17.09,195.3,108,8.79,9.7,7,2.62
1480,NJ,66,415, 410-5713, no, yes,16,174.7,92,29.7,232.1,105,19.73,305.4,98,13.74,8.9,2,2.4
1481,WI,78,408, 408-5916, no, no,0,87,102,14.79,193.6,64,16.46,205.8,120,9.26,11,5,2.97
1482,MD,129,415, 370-5626, no, yes,34,204.5,79,34.77,132.8,113,11.29,190.1,117,8.55,14.8,9,4
1484,NV,107,510, 419-9688, yes, no,0,234.1,91,39.8,163.1,105,13.86,282.5,100,12.71,10,3,2.7
1485,AR,107,415, 343-5219, yes, no,0,133.3,106,22.66,182.9,89,15.55,241.1,123,10.85,12.9,2,3.48
1486,MT,138,415, 401-5586, no, no,0,133.9,87,22.76,166.4,110,14.14,193.5,139,8.71,15.4,3,4.16
1487,CT,103,510, 377-9178, no, no,0,160.2,104,27.23,138.9,70,11.81,312.5,97,14.06,9.7,2,2.62
1489,GA,189,408, 336-3488, no, no,0,227.4,84,38.66,176,81,14.96,206.1,120,9.27,6.3,4,1.7
1490,NV,161,415, 414-6426, no, no,0,72.8,120,12.38,267.1,120,22.7,222.5,91,10.01,11.8,2,3.19
1491,TN,1,415, 335-5591, no, no,0,196.1,107,33.34,296.5,82,25.2,211.5,91,9.52,7,2,1.89
1492,DE,89,408, 421-9144, no, no,0,197.1,110,33.51,165.9,115,14.1,227.3,106,10.23,12.8,3,3.46
1493,NY,64,408, 422-7728, no, no,0,219.6,126,37.33,303.3,100,25.78,154.5,65,6.95,9.7,5,2.62
1494,MT,126,415, 344-3466, no, yes,30,153.4,90,26.08,151.4,97,12.87,153.8,97,6.92,12.8,4,3.46
1495,IA,129,415, 398-7978, no, no,0,216,85,36.72,186.9,114,15.89,210.7,109,9.48,4.9,10,1.32
1496,VT,128,510, 346-8368, no, yes,32,222.9,136,37.89,262,80,22.27,191.4,101,8.61,10.8,4,2.92
1497,LA,81,415, 392-2722, no, yes,36,115.9,120,19.7,236.6,95,20.11,255,90,11.48,11.7,6,3.16
1498,MT,114,510, 393-3274, no, no,0,189.8,101,32.27,147.7,80,12.55,172.7,121,7.77,10.6,5,2.86
1499,NH,50,408, 339-4636, no, no,0,154.7,102,26.3,298,108,25.33,210.2,95,9.46,11.1,3,3
1500,WV,86,415, 349-7138, no, no,0,136.4,104,23.19,202.5,110,17.21,230.7,86,10.38,11.5,1,3.11
1502,AZ,72,510, 407-9830, no, no,0,272.4,88,46.31,107.9,125,9.17,185.5,81,8.35,12.7,2,3.43
1504,WV,57,415, 419-6418, yes, yes,17,236.5,94,40.21,163.1,94,13.86,236.7,117,10.65,12.2,3,3.29
1506,MD,163,408, 338-1840, no, no,0,223,120,37.91,227,98,19.3,188.3,125,8.47,8.8,5,2.38
1508,MN,116,408, 408-6266, no, no,0,197.9,84,33.64,168.1,113,14.29,239.8,145,10.79,12,6,3.24
1510,MN,142,510, 355-7895, no, yes,40,237.4,105,40.36,175.9,93,14.95,210.3,110,9.46,9.2,3,2.48
1511,NY,92,408, 348-2916, no, no,0,265.6,82,45.15,180.7,75,15.36,211.1,113,9.5,8.6,2,2.32
1512,HI,70,415, 339-8132, no, no,0,197.3,91,33.54,305.8,81,25.99,171,105,7.69,6.7,6,1.81
1513,MO,22,408, 374-1684, no, yes,14,199.1,100,33.85,221.8,103,18.85,65.7,91,2.96,4.2,1,1.13
1514,NV,37,415, 362-7604, no, no,0,233.7,114,39.73,207.9,109,17.67,212.7,101,9.57,12,2,3.24
1516,NH,174,408, 336-2829, no, no,0,139.4,96,23.7,143.4,108,12.19,225.2,107,10.13,10,5,2.7
1519,WA,104,415, 390-2320, no, no,0,139.7,78,23.75,202.6,119,17.22,203.6,102,9.16,11.3,5,3.05
1520,CT,134,408, 398-8578, no, no,0,177.2,91,30.12,228.7,105,19.44,194.3,113,8.74,8.9,3,2.4
1521,KY,108,415, 393-9424, no, yes,35,169.8,136,28.87,173.7,101,14.76,214.6,105,9.66,9.5,7,2.57
1522,NM,103,415, 417-6330, no, no,0,173.5,83,29.5,244.3,65,20.77,221.6,66,9.97,9.7,2,2.62
1523,ND,62,510, 340-6339, no, no,0,159.9,100,27.18,172.2,99,14.64,263.2,109,11.84,5.6,4,1.51
1524,NV,162,415, 380-6571, no, no,0,115.1,89,19.57,196.8,111,16.73,212.4,98,9.56,11.4,3,3.08
1526,ID,42,415, 363-2193, no, no,0,92.2,108,15.67,211.2,120,17.95,129.1,73,5.81,13.1,6,3.54
1527,OK,155,415, 328-1206, no, yes,23,243.9,112,41.46,133,106,11.31,213.7,123,9.62,13.4,11,3.62
1528,IA,36,510, 385-3540, no, no,0,117.1,94,19.91,235.4,117,20.01,221.3,108,9.96,9,2,2.43
1529,OH,143,415, 337-7167, no, no,0,223.3,99,37.96,167.1,128,14.2,203,84,9.14,4.5,4,1.22
1530,NJ,197,510, 372-8405, no, no,0,154.8,111,26.32,171.5,102,14.58,227.3,86,10.23,10.6,2,2.86
1531,IA,81,510, 377-1273, no, no,0,261.4,141,44.44,215.7,102,18.33,271.8,96,12.23,8,6,2.16
1532,DE,138,510, 380-7816, yes, no,0,46.5,104,7.91,186,114,15.81,167.5,95,7.54,9.6,4,2.59
1533,CA,103,415, 402-6744, no, yes,18,149.9,84,25.48,170.9,84,14.53,171.5,112,7.72,11.5,7,3.11
1534,WY,127,510, 400-2181, yes, no,0,242.2,102,41.17,226.1,80,19.22,252,96,11.34,13.9,5,3.75
1535,OR,136,510, 366-1613, no, no,0,259.4,99,44.1,172.7,125,14.68,293.7,78,13.22,10.7,6,2.89
1537,AR,95,415, 328-2982, no, no,0,69.4,79,11.8,190.8,109,16.22,219.9,102,9.9,8.9,5,2.4
1539,WV,113,415, 341-7686, no, no,0,61.2,111,10.4,92.3,88,7.85,197.4,114,8.88,13.7,3,3.7
1542,MT,48,415, 418-8450, no, yes,36,230.9,92,39.25,167.6,121,14.25,270,87,12.15,7.6,4,2.05
1544,AR,57,510, 393-3507, no, no,0,192.8,68,32.78,158,86,13.43,235.5,105,10.6,12.7,6,3.43
1545,MS,140,408, 372-5262, no, no,0,162.6,98,27.64,206.2,109,17.53,141.6,66,6.37,8.2,2,2.21
1546,OH,107,510, 411-3095, no, yes,38,219.4,92,37.3,180.5,73,15.34,104.1,91,4.68,11,1,2.97
1549,MD,102,415, 349-7362, no, no,0,271.1,80,46.09,172,133,14.62,169.2,105,7.61,10.3,5,2.78
1554,CO,86,415, 405-1132, no, no,0,217.8,93,37.03,214.7,95,18.25,228.7,70,10.29,11.3,7,3.05
1556,AZ,122,510, 350-7227, no, yes,22,204.5,92,34.77,139.6,121,11.87,205,103,9.23,8.6,5,2.32
1557,FL,106,408, 384-6654, no, no,0,178.4,143,30.33,247,123,21,259.9,105,11.7,9.6,2,2.59
1558,MN,52,415, 376-4271, no, yes,32,130.1,68,22.12,247.2,77,21.01,289.4,87,13.02,13.5,5,3.65
1559,DE,79,415, 391-8124, no, yes,34,103.7,100,17.63,236.3,78,20.09,256.6,102,11.55,14.8,4,4
1560,MI,135,415, 393-2524, no, no,0,239.9,91,40.78,177.1,104,15.05,217.2,118,9.77,5.9,3,1.59
1561,MS,70,408, 384-4385, no, no,0,148.4,110,25.23,267.1,90,22.7,151.5,101,6.82,8.9,4,2.4
1562,MA,80,408, 377-8266, no, no,0,148.6,106,25.26,210.8,65,17.92,203.7,86,9.17,10,2,2.7
1564,MN,161,415, 394-8086, no, yes,39,218.5,76,37.15,112.7,94,9.58,205.1,121,9.23,7.3,4,1.97
1565,VT,137,510, 348-9145, no, no,0,97.5,95,16.58,195.8,82,16.64,288.8,78,13,0,0,0
1567,WV,80,415, 356-2093, no, yes,38,236.6,69,40.22,197.5,68,16.79,209.5,102,9.43,9.5,10,2.57
1568,WV,94,415, 353-2080, no, no,0,85.9,113,14.6,226.7,91,19.27,279.6,110,12.58,15.6,16,4.21
1569,NE,105,415, 397-7500, no, yes,27,141.2,96,24,167.7,94,14.25,274.4,101,12.35,11.4,2,3.08
1571,NE,112,415, 388-4282, no, no,0,167.6,100,28.49,154.5,90,13.13,281.4,107,12.66,17.3,3,4.67
1572,IL,179,408, 415-5132, no, no,0,234.5,134,39.87,164.2,94,13.96,191.4,72,8.61,6.1,4,1.65
1574,AZ,127,415, 373-5928, no, yes,14,143.2,99,24.34,169.9,91,14.44,221.6,77,9.97,11.6,1,3.13
1577,VT,94,408, 359-7788, no, no,0,118.7,90,20.18,205.1,57,17.43,172.2,100,7.75,10.4,6,2.81
1578,UT,100,408, 384-1549, no, no,0,179.1,123,30.45,196.6,132,16.71,186.7,116,8.4,10.2,10,2.75
1579,HI,106,415, 352-8508, no, no,0,147.9,97,25.14,209.3,99,17.79,162.1,80,7.29,8.8,5,2.38
1580,DC,148,415, 404-1002, no, yes,38,209.2,110,35.56,116.6,73,9.91,109.6,105,4.93,16.5,4,4.46
1581,WI,120,415, 414-2905, no, yes,29,244.3,140,41.53,322.3,89,27.4,166.8,83,7.51,10.6,6,2.86
1582,UT,91,415, 380-9849, no, yes,34,175.3,96,29.8,262.3,122,22.3,143.9,76,6.48,5.6,11,1.51
1583,WA,86,510, 387-6498, no, no,0,150.5,92,25.59,120.3,95,10.23,271.2,96,12.2,9,2,2.43
1584,SD,78,415, 360-6024, no, yes,25,197.4,73,33.56,295.7,113,25.13,211.7,73,9.53,13.2,2,3.56
1585,MT,94,510, 352-5815, no, no,0,163.5,136,27.8,143.7,111,12.21,253.4,82,11.4,12.6,5,3.4
1586,NJ,85,415, 366-2273, no, no,0,236.9,93,40.27,197.7,113,16.8,309.1,78,13.91,11.4,7,3.08
1587,CT,89,415, 414-9119, no, no,0,82.3,77,13.99,167.2,80,14.21,194.7,70,8.76,7.2,4,1.94
1589,NC,115,415, 337-2442, yes, no,0,180,119,30.6,198.8,126,16.9,217.1,70,9.77,12.4,3,3.35
1593,CT,30,408, 410-5192, no, no,0,137.6,108,23.39,162,80,13.77,187.7,126,8.45,5.8,10,1.57
1594,KS,105,415, 405-1108, yes, no,0,273.9,119,46.56,278.6,103,23.68,255.3,90,11.49,10.9,7,2.94
1595,MA,102,415, 392-1734, no, yes,31,125.3,92,21.3,141.2,108,12,168.2,68,7.57,6.3,2,1.7
1596,NJ,83,415, 395-6030, no, no,0,178.8,102,30.4,167.9,84,14.27,178.9,65,8.05,8.6,4,2.32
1597,AR,63,510, 330-5168, no, yes,49,214.9,86,36.53,198.2,89,16.85,170.8,139,7.69,8.2,5,2.21
1598,MS,155,408, 334-3142, no, no,0,163,93,27.71,203.9,102,17.33,159,109,7.15,15.1,4,4.08
1599,ND,82,415, 362-9983, no, yes,29,163.8,77,27.85,134.9,112,11.47,79.3,95,3.57,8.8,2,2.38
1600,IN,87,510, 414-2606, no, no,0,189.5,113,32.22,204.9,100,17.42,221.7,93,9.98,13.4,3,3.62
1601,MI,115,415, 402-4501, no, yes,26,155.2,110,26.38,230.9,133,19.63,261.6,100,11.77,4.5,4,1.22
1604,WV,54,510, 353-2450, no, yes,33,112,90,19.04,208,112,17.68,150.3,83,6.76,11.3,4,3.05
1605,ME,105,408, 406-2032, no, no,0,115.5,73,19.64,267.3,83,22.72,114.2,90,5.14,13.3,5,3.59
1606,IA,73,415, 409-4462, no, no,0,137.1,102,23.31,210.8,114,17.92,191.4,120,8.61,11.1,4,3
1607,CT,95,415, 392-5941, no, no,0,198.4,113,33.73,235.9,144,20.05,325.6,99,14.65,10.1,3,2.73
1609,OR,163,408, 346-3445, no, yes,25,219.6,99,37.33,210.4,99,17.88,242.7,88,10.92,13.8,8,3.73
1610,VT,57,415, 368-9507, no, no,0,169.6,96,28.83,234.7,112,19.95,285.4,83,12.84,11.2,4,3.02
1612,RI,83,415, 334-5844, no, yes,20,95,89,16.15,167.9,92,14.27,200.6,79,9.03,11.2,2,3.02
1615,MT,184,415, 417-4810, no, no,0,236.4,73,40.19,287.3,120,24.42,192,94,8.64,13.8,4,3.73
1616,CT,74,408, 384-3389, no, no,0,157.1,95,26.71,213.1,36,18.11,280.4,77,12.62,7.6,3,2.05
1618,ID,104,415, 357-1700, yes, no,0,148.2,108,25.19,161.8,113,13.75,259.3,103,11.67,11,4,2.97
1619,TX,71,415, 376-7207, no, yes,39,183.2,103,31.14,209.4,111,17.8,172.4,109,7.76,11.9,6,3.21
1620,NH,149,415, 368-7706, no, no,0,119.2,88,20.26,168.3,110,14.31,204.7,119,9.21,12.2,6,3.29
1621,ND,154,408, 346-4216, no, yes,35,224,102,38.08,192,99,16.32,163.1,100,7.34,9.6,2,2.59
1622,SC,138,510, 370-9533, no, yes,21,19.5,149,3.32,140.9,109,11.98,179.7,111,8.09,7.9,1,2.13
1626,WI,100,510, 369-3756, no, yes,38,224.7,121,38.2,294,131,24.99,290,61,13.05,9.8,6,2.65
1627,NC,149,510, 363-1719, no, no,0,207.3,115,35.24,198.4,82,16.86,114.1,83,5.13,8.6,4,2.32
1628,OH,29,408, 402-6666, no, no,0,196.8,81,33.46,168,110,14.28,132.6,98,5.97,12.7,7,3.43
1629,WY,131,510, 408-9779, no, no,0,110.9,74,18.85,115.6,90,9.83,190.5,114,8.57,15.8,9,4.27
1631,ND,84,510, 384-5027, no, no,0,226.9,144,38.57,201.6,122,17.14,130.2,121,5.86,13.2,5,3.56
1632,WI,133,510, 380-3161, no, no,0,187,65,31.79,141.4,128,12.02,238.2,108,10.72,10,8,2.7
1633,KY,112,415, 360-8135, no, no,0,170.5,113,28.99,193.2,129,16.42,188,91,8.46,11.2,6,3.02
1635,MO,72,415, 385-2564, no, no,0,165.9,114,28.2,235.9,97,20.05,210.1,120,9.45,12,5,3.24
1638,CO,74,415, 394-6278, no, no,0,225.2,93,38.28,215.1,120,18.28,241.8,95,10.88,9.1,2,2.46
1641,TN,68,415, 397-1659, no, no,0,222.8,99,37.88,175.8,85,14.94,202,111,9.09,11,3,2.97
1642,DE,54,415, 379-3953, yes, no,0,214.1,77,36.4,240.5,94,20.44,188.9,75,8.5,10.1,3,2.73
1645,WV,124,510, 355-3814, no, no,0,184.8,74,31.42,175.1,84,14.88,158.2,95,7.12,10.5,6,2.84
1646,CT,95,415, 375-2098, no, yes,36,283.1,112,48.13,286.2,86,24.33,261.7,129,11.78,11.3,3,3.05
1647,MN,173,510, 372-7990, no, no,0,291.8,143,49.61,214.3,134,18.22,151.2,119,6.8,9.9,2,2.67
1650,NH,130,408, 390-4003, no, no,0,68.4,86,11.63,193.3,110,16.43,171.5,139,7.72,10.4,4,2.81
1651,OK,91,408, 332-8103, no, yes,31,273,78,46.41,215.5,98,18.32,104.7,114,4.71,9.6,2,2.59
1652,CT,64,415, 406-9926, yes, no,0,225.3,134,38.3,108.2,87,9.2,139.6,132,6.28,17.3,9,4.67
1654,MD,93,510, 384-3299, yes, no,0,131.4,78,22.34,219.7,106,18.67,155.7,103,7.01,11.1,2,3
1656,SD,138,510, 350-6473, no, no,0,127.1,102,21.61,247.7,106,21.05,207.7,75,9.35,5,3,1.35
1657,ND,101,415, 379-4583, no, yes,28,105.9,132,18,231.7,107,19.69,281.3,120,12.66,10.7,5,2.89
1658,VA,136,408, 411-5078, no, no,0,142.3,79,24.19,158,113,13.43,177.5,75,7.99,6,11,1.62
1660,MA,132,408, 341-9274, no, yes,36,201.9,93,34.32,156.3,75,13.29,131.3,92,5.91,13.7,5,3.7
1661,SD,128,415, 353-7461, no, no,0,247.3,91,42.04,182.7,60,15.53,143.2,112,6.44,14.7,2,3.97
1665,SC,99,415, 329-2204, no, yes,33,179.1,93,30.45,238.3,102,20.26,165.7,96,7.46,10.6,1,2.86
1666,FL,106,415, 407-7507, no, yes,31,197.4,125,33.56,123.4,110,10.49,115.6,101,5.2,12.3,4,3.32
1667,KY,88,415, 405-8075, no, no,0,148.2,82,25.19,308.7,67,26.24,235.4,79,10.59,6.4,4,1.73
1669,NY,98,408, 403-4917, no, no,0,171.7,99,29.19,174.8,87,14.86,189.6,130,8.53,7.8,6,2.11
1670,MS,17,408, 391-6709, no, yes,35,198.5,123,33.75,270.6,74,23,209.9,130,9.45,8.1,10,2.19
1671,NH,56,415, 389-5988, no, yes,24,121.7,87,20.69,184,76,15.64,266.6,98,12,12.7,3,3.43
1672,VA,84,415, 372-1534, no, no,0,130.2,105,22.13,278,60,23.63,305.4,74,13.74,14,6,3.78
1673,VT,95,510, 395-6369, no, no,0,203.4,96,34.58,168.6,61,14.33,173,105,7.79,13.7,3,3.7
1675,NV,76,510, 377-4169, yes, no,0,241,120,40.97,231.8,96,19.7,220.2,67,9.91,9.9,1,2.67
1676,WV,93,415, 384-5343, no, no,0,141.7,95,24.09,221,100,18.79,227.1,71,10.22,10.2,3,2.75
1677,WA,83,408, 338-4472, no, no,0,134.8,96,22.92,167.2,78,14.21,161.5,123,7.27,7.7,5,2.08
1678,KS,123,415, 332-2126, no, no,0,163.1,119,27.73,249.4,51,21.2,168.2,77,7.57,9,10,2.43
1680,OK,82,510, 393-4823, no, no,0,329.8,73,56.07,208.3,120,17.71,267.1,102,12.02,10.6,6,2.86
1681,GA,107,510, 385-2683, no, no,0,194.5,97,33.07,186.3,131,15.84,178.3,106,8.02,12.7,1,3.43
1682,CO,110,510, 345-8350, no, no,0,131.9,93,22.42,272.7,106,23.18,192.8,105,8.68,7.1,4,1.92
1683,AK,96,408, 334-4506, no, yes,29,150,91,25.5,159.4,75,13.55,228.1,55,10.26,8.5,3,2.3
1684,TN,47,415, 332-3544, no, yes,30,196.6,93,33.42,241.4,140,20.52,226,118,10.17,12.9,4,3.48
1686,PA,69,415, 395-6149, no, no,0,143.6,88,24.41,141.8,86,12.05,194,83,8.73,10.8,5,2.92
1691,PA,174,415, 353-1352, no, yes,15,221.8,143,37.71,210.6,115,17.9,221.8,109,9.98,12.4,9,3.35
1693,PA,79,415, 365-2008, no, no,0,268.3,114,45.61,185.5,111,15.77,264.6,88,11.91,6.3,7,1.7
1694,OK,123,415, 393-3635, no, yes,27,198.7,127,33.78,249,105,21.17,173.2,124,7.79,12.5,5,3.38
1695,VT,99,415, 380-8727, no, no,0,115.5,75,19.64,218.1,111,18.54,254.9,98,11.47,11.5,7,3.11
1696,ID,114,415, 381-2376, no, no,0,202.1,100,34.36,195.7,102,16.63,291.8,120,13.13,13.3,5,3.59
1697,PA,141,510, 365-8114, no, no,0,215.6,113,36.65,200.6,81,17.05,153.8,107,6.92,12.4,6,3.35
1701,VT,93,510, 338-7709, no, yes,32,218.7,117,37.18,115,61,9.78,192.7,85,8.67,9.4,5,2.54
1704,DE,96,415, 345-3734, no, yes,26,175.8,96,29.89,206.6,84,17.56,178,105,8.01,11.1,2,3
1705,FL,144,510, 384-5004, no, no,0,278.5,95,47.35,240.7,90,20.46,120,90,5.4,11.6,5,3.13
1706,ID,24,408, 341-9396, no, yes,29,236.3,105,40.17,190.8,114,16.22,129,105,5.81,7.2,2,1.94
1707,MD,54,415, 408-6302, no, no,0,273.8,113,46.55,119.6,156,10.17,267.6,117,12.04,11.7,3,3.16
1709,ID,92,415, 417-4063, no, yes,23,167.4,83,28.46,258.6,129,21.98,116.4,110,5.24,11.2,3,3.02
1710,NV,96,408, 375-6911, no, no,0,197.7,68,33.61,250.5,53,21.29,181.2,67,8.15,10.5,3,2.84
1712,ID,138,415, 339-7485, yes, yes,17,225.2,116,38.28,173.4,88,14.74,145.8,99,6.56,11.7,4,3.16
1713,SC,102,408, 368-3078, no, no,0,174.5,73,29.67,213.7,114,18.16,164.7,116,7.41,10.3,5,2.78
1715,NE,99,415, 386-9981, no, no,0,200,66,34,107.9,104,9.17,233.7,82,10.52,11.4,2,3.08
1717,ME,36,510, 335-3110, no, yes,25,152.8,110,25.98,242.8,67,20.64,147.4,74,6.63,9.1,2,2.46
1719,AZ,109,415, 404-3106, yes, no,0,268.4,85,45.63,150.6,131,12.8,297.9,84,13.41,9.7,8,2.62
1721,HI,104,408, 353-6482, no, no,0,170.6,97,29,162.1,111,13.78,210.7,131,9.48,6.1,1,1.65
1722,NJ,106,415, 397-8162, no, no,0,191.4,124,32.54,200.7,116,17.06,230.1,76,10.35,8.2,3,2.21
1724,MA,80,510, 329-2918, no, no,0,149.8,123,25.47,276.3,75,23.49,241.4,75,10.86,10.9,7,2.94
1725,SC,100,510, 348-8022, no, no,0,115.9,87,19.7,111.3,56,9.46,170.2,77,7.66,7.1,4,1.92
1726,MN,99,408, 388-4459, no, no,0,128.8,86,21.9,203.9,105,17.33,282.6,131,12.72,14.1,4,3.81
1727,WV,50,510, 358-3114, no, no,0,131.7,108,22.39,216.5,103,18.4,196.1,126,8.82,11,5,2.97
1728,MS,105,415, 343-9654, no, no,0,101.4,48,17.24,159.1,119,13.52,259.2,53,11.66,12.2,2,3.29
1731,NM,161,408, 397-8011, no, no,0,107.5,121,18.28,256.4,46,21.79,247.2,131,11.12,12.6,3,3.4
1732,TX,70,415, 341-8719, no, no,0,232.8,95,39.58,303.4,111,25.79,255.6,104,11.5,12.9,7,3.48
1733,HI,97,415, 408-1242, no, yes,43,121.1,105,20.59,260.2,115,22.12,222.4,100,10.01,8.3,5,2.24
1734,WA,130,510, 406-7726, no, no,0,124.3,70,21.13,270.7,99,23.01,239.5,83,10.78,3.5,6,0.95
1735,WI,92,415, 351-2773, no, no,0,157.7,101,26.81,298.6,100,25.38,216.9,99,9.76,13.8,3,3.73
1736,CO,119,408, 368-6174, no, no,0,124.3,68,21.13,207.1,88,17.6,157.4,93,7.08,14.8,1,4
1738,RI,134,415, 413-1789, no, no,0,141.7,95,24.09,205.6,101,17.48,218.5,60,9.83,8.8,6,2.38
1740,NJ,80,415, 330-4978, no, no,0,268.7,120,45.68,301,147,25.59,167,140,7.52,5.8,1,1.57
